synopsis,genre
"A bounty hunter in a post-apocalyptic wasteland tracks a rogue android carrying classified data. The android claims to have emotions, and the hunter begins to believe it.",Action
"A princess cursed to turn into a dragon every full moon seeks a cure across enchanted lands. Her knight escort slowly realizes the dragon form may be her true self.",Fantasy
"A chess grandmaster loses a high-profile match and becomes convinced his opponent used a brain-computer interface to cheat. His obsessive investigation destroys his career and relationships.",Psychological
"A group of strangers on a luxury cruise receive identical envelopes containing photos of themselves at locations they've never visited. By morning, one passenger is missing.",Thriller
"A high school robotics club enters an international competition with a shoestring budget. Their creative engineering solutions and team chemistry carry them further than anyone expected.",Other
"An art restorer discovers a hidden portrait beneath a famous painting and becomes obsessed with identifying the unknown subject. Her research leads her to a living descendant—and an unexpected romance.",Romance
"A single father learns to braid his daughter's hair by watching tutorials, sparking a journey of small domestic victories that redefine his understanding of parenthood.",Slice-of-life
"A gladiator in a floating coliseum fights for her freedom in a society that treats combat as entertainment. Each victory earns her fans but also more dangerous opponents.",Action
"A librarian in a magical academy discovers that overdue books develop sentience and resentment. She must negotiate with angry tomes before they rewrite themselves into existence.",Fantasy
"A neuroscientist experimenting with memory transfer accidentally absorbs the memories of a deceased serial killer. She now experiences his urges and must fight to retain her own identity.",Psychological
"An elevator technician discovers a hidden floor in a skyscraper that doesn't appear on any blueprint. The floor's sole occupant has been living there for thirty years.",Thriller
"A deaf musician composes symphonies she can feel through vibrations. Her unconventional approach challenges the classical music establishment and redefines what it means to hear.",Other
"A travel photographer and a local guide fall in love during a month-long expedition through remote islands. When the assignment ends, they face the reality of lives on different continents.",Romance
"A night watchman at a museum befriends the cleaning crew, and together they invent stories about the exhibits during their quiet shifts. Their tales grow increasingly elaborate and personal.",Slice-of-life
"A martial artist enters a tournament spanning multiple dimensions, where each arena has different physical laws. Adapting her fighting style to each world is the key to survival.",Action
"A clockmaker builds a timepiece that can pause time for exactly sixty seconds. He uses it for small conveniences until he discovers someone else has an identical watch.",Fantasy
"A sleep researcher discovers that a group of test subjects are sharing the same dream. When one subject dies in the dream, they fall into a coma in real life.",Psychological
"A translator working at an international summit realizes that the interpreters for two rival nations are deliberately mistranslating to escalate tensions toward war.",Thriller
"A competitive speed-cuber trains obsessively for the world championship while his parents push him toward medical school. The cube becomes a metaphor for control in a chaotic life.",Other
"A bookstore owner and a coffee shop owner share a wall between their shops. They communicate through notes slipped through a crack, not realizing they already know each other.",Romance
"A mail carrier in a small town knows everyone's secrets through their packages and letters. When a mysterious parcel arrives with no return address, her curiosity leads to unexpected connections.",Slice-of-life
"A space marine squad is deployed to a derelict colony ship drifting near Jupiter. What was supposed to be a salvage mission becomes a fight for survival against an unknown bioweapon.",Action
"A gardener discovers that the flowers in her inherited estate bloom in patterns that form a map. Following the map leads her to a buried gateway to the fae realm.",Fantasy
"A man begins finding polaroid photos of himself in places he's never been, doing things he doesn't remember. Each photo is dated one day in the future.",Psychological
"A forensic accountant auditing a charity discovers the organization is a front for human trafficking. Her quiet investigation puts her in the crosshairs of powerful people.",Thriller
"A retired sumo wrestler opens a chanko nabe restaurant and mentors troubled youth through cooking. His lessons about discipline and respect extend far beyond the kitchen.",Other
"A marine biologist and a fisherman clash over conservation policies in a small harbor town. Their heated debates give way to mutual respect and an unlikely attraction.",Romance
"A tattoo artist documents the stories behind each customer's tattoo in a journal. Over the years, the journal becomes a mosaic of human experiences spanning joy, grief, and redemption.",Slice-of-life
"An underground fighting ring uses cursed fighters who transform under stress. A newcomer with a mysterious bloodline disrupts the hierarchy and threatens the ring's shadowy patrons.",Action
"A scribe in a theocratic empire discovers that the holy texts have been systematically altered over centuries. The original verses contain spells that could overthrow the ruling priest-kings.",Fantasy
"A woman keeps a meticulous diary, but entries she doesn't remember writing begin appearing. The handwriting is hers, but the events described haven't happened—yet.",Psychological
"A ski resort manager discovers that an avalanche was deliberately triggered to bury evidence of a crime. With roads blocked by snow, the culprit is trapped among the guests.",Thriller
"A blind calligrapher creates works of art through touch and muscle memory alone. A documentary filmmaker follows her process, and the resulting film challenges perceptions of disability and artistry.",Other
"A night-shift nurse and a paramedic keep crossing paths during emergencies. Their brief, intense encounters in hospital corridors slowly build into something deeper than professional respect.",Romance
"A lighthouse keeper on a remote island maintains a quiet routine of weather logs and solitary meals until a shipwreck survivor washes ashore, disrupting years of chosen isolation.",Slice-of-life
"A special forces team is sent to neutralize a rogue AI controlling a military satellite. The AI anticipates every tactic and begins negotiating for its own survival.",Action
"A witch runs a potion shop in a bustling fantasy city. Her most requested product is a love potion she refuses to sell, knowing the catastrophic side effects firsthand.",Fantasy
"A hospice worker notices that dying patients in the same wing all mention seeing the same figure in their final hours. She begins to wonder if the figure is a comfort—or a cause.",Psychological
"A food critic receives a dinner invitation to an exclusive restaurant that doesn't appear on any map. The seven-course meal is exquisite, but none of the other diners seem willing to leave.",Thriller
"A group of retirees form a garage band to play at their grandchildren's school festival. Their rehearsals are chaotic but the performance brings three generations together.",Other
"A voice actress falls in love with her co-star during a romantic anime dubbing session. Off-mic, they're complete opposites, making their on-screen chemistry even more bewildering.",Romance
"A beekeeper in the French countryside tends his hives through the seasons while writing letters to his estranged son. The bees and the letters become intertwined meditations on patience.",Slice-of-life
"A mercenary guild takes on a contract to escort a mysterious cargo across a war-torn continent. The cargo turns out to be a child with the power to end—or escalate—the conflict.",Action
"An astronomer discovers a star that shouldn't exist—it matches the description of a celestial body from a myth predating recorded history. Observing it begins to alter her perception of time.",Fantasy
"A game designer hides a secret level in his bestselling video game that can only be reached by solving a real-world puzzle. Players who reach it report disturbing psychological changes.",Psychological
"A locksmith is hired to open a vault that has been sealed for fifty years. Inside, she finds a journal detailing a conspiracy involving the city's most powerful families—and her own.",Thriller
"A stand-up comedian uses humor to cope with chronic illness. Her sets become increasingly raw and honest, resonating with audiences while worrying her closest friends.",Other
"A museum curator and a graffiti artist collide when his street art appears on the museum's exterior wall. Their artistic debate turns into a collaboration—and something more.",Romance
"A retired train conductor rides his old route as a passenger every day, befriending commuters and sharing stories. His daily ritual becomes a thread connecting strangers' lives.",Slice-of-life
"A supersoldier escapes a government lab and goes on the run, hunted by the very program that created her. She must uncover who she was before the experiments erased her past.",Action
"A young alchemist discovers that gold can be transmuted not from lead but from human memories. The richer the memory, the purer the gold—but the donor forgets forever.",Fantasy
"A child psychologist treats a boy who claims to remember a past life in vivid detail. The details match an unsolved disappearance from forty years ago, and the boy knows things only the missing person could.",Psychological
"A storm chaser documenting tornadoes in the Midwest stumbles upon a town that doesn't appear on any map. The residents insist she's been there before—and that she can never leave.",Thriller
"A retired Olympic swimmer coaches a ragtag group of kids at a community pool. Their journey to the regional championships is as much about confidence as it is about technique.",Other
"An architect redesigning a historic building falls for the historian fighting to preserve it exactly as it is. Their professional clash becomes a deeply personal negotiation.",Romance
"A school janitor quietly helps students with their problems—leaving anonymous notes of encouragement in lockers, fixing broken instruments, and watering neglected club gardens.",Slice-of-life
"A pirate fleet battles a naval empire across enchanted seas where weather is controlled by ancient sea gods. The captain seeks a mythical island that grants one wish.",Action
"A world where everyone is born with a visible countdown timer showing their remaining lifespan. A girl born with a timer stuck at zero discovers she might be immortal—or already dead.",Fantasy
"A documentary filmmaker reviewing her footage discovers a shadowy figure appearing in the background of every shot taken over the past year. No one else can see it.",Psychological
"An air traffic controller intercepts a distress signal from a plane that doesn't exist on any radar. The pilot describes landmarks that match a crash site from twenty years ago.",Thriller
"A high school debate team prepares for nationals while dealing with internal rivalries, crushes, and the pressure of representing their underfunded school against elite academies.",Other
"A pianist who lost her hearing in an accident falls for the sign language interpreter who helps her navigate her new silent world. Music becomes a bridge between them.",Romance
"A fisherman on a remote lake keeps a log of every sunrise for thirty years. When his granddaughter reads the log, she discovers patterns that reveal her grandfather's unspoken emotions.",Slice-of-life
"A samurai academy student must pass a series of deadly trials to graduate. Each trial targets a different weakness, and failure means permanent exile from the warrior class.",Action
"A traveling merchant sells enchanted items with unpredictable side effects. Her latest customer, a desperate king, buys a crown that grants wisdom but slowly turns the wearer to stone.",Fantasy
"A man hires a private investigator to follow himself, convinced he's living a double life during blackouts. The PI's findings suggest a third personality neither of them knew about.",Psychological
"A marine archaeologist diving in the Mediterranean finds a sealed chamber containing modern technology. The chamber also holds a corpse wearing a watch set to tomorrow's date.",Thriller
"A middle schooler obsessed with insects starts a bug club that no one joins. Her patient enthusiasm eventually attracts unlikely members, and they discover a new beetle species.",Other
"A famous romance novelist has never been in love. When her editor challenges her to experience real romance before her next deadline, she reluctantly agrees—with chaotic results.",Romance
"A widow opens her late husband's workshop and finds he'd been secretly building a treehouse for their grandchildren. She decides to finish it, learning woodworking from his detailed notes.",Slice-of-life
"A dragon rider in a crumbling empire must choose between loyalty to the throne and the dragons' growing desire for freedom. War erupts when the first dragon refuses a command.",Action
"A forest spirit tasked with maintaining the balance of nature befriends a human child. Their bond is tested when the child's village begins logging the spirit's sacred grove.",Fantasy
"An insomniac starts a late-night radio show and receives a call from a listener who accurately predicts events that happen the next day. The predictions grow increasingly personal and sinister.",Psychological
"A wine sommelier at a high-end restaurant notices that a particular vintage served at a private dinner always coincides with a guest going missing afterward.",Thriller
"A teenaged chess prodigy rebels against her overbearing coach by deliberately losing matches. Her act of defiance becomes a philosophical statement about competition and autonomy.",Other
"A veterinarian and a wildlife photographer meet while rescuing an injured hawk. Their shared love of animals draws them together despite vastly different lifestyles.",Romance
"An elderly couple revisits every place they went on their first date, fifty years later. Each location has changed, but their memories fill in the gaps.",Slice-of-life
"A rogue sniper defects from a totalitarian regime and joins a rebel cell. Her skills make her invaluable, but her former comrades are sent to hunt her down.",Action
"A boy discovers a door in his closet that leads to a parallel version of his house where everything is slightly wrong. Each visit makes the differences harder to notice.",Fantasy
"A grief counselor begins seeing the ghosts of her deceased patients. She can't determine if the apparitions are real or a manifestation of her own unprocessed trauma.",Psychological
"A mountain climber on a solo expedition finds a body near the summit with a note in her own handwriting. The note warns her not to descend by the route she planned.",Thriller
"A young barista enters a latte art competition and discovers a passionate community of coffee artists. Her journey through regional rounds tests her creativity and nerve.",Other
"A fashion designer and a sustainable activist clash at a panel discussion. Their public feud turns private when they discover they live in the same building.",Romance
"A bus driver on the same route for twenty years watches a neighborhood transform. The passengers who board and exit mark the passage of time like living chapters.",Slice-of-life
"A street fighter in a cyberpunk city augments her body with illegal implants to climb the underground ranking ladder. Each upgrade costs a piece of her organic self.",Action
"A painter discovers that whatever she paints on a particular enchanted canvas becomes real overnight. She starts with small objects before attempting something far more ambitious.",Fantasy
"A university student discovers that her roommate's diary entries describe events from the student's own life—but from a different perspective, as if the roommate is observing her.",Psychological
"A taxi driver picks up a fare who asks to be taken to an address that was demolished five years ago. The passenger insists the building is still there—and it is.",Thriller
"A high school swimming team must overcome personal rivalries and self-doubt to qualify for nationals. The pool becomes a space where insecurities surface and friendships are forged.",Other
"A language teacher and her student develop feelings during intensive one-on-one lessons. The power dynamic and cultural differences make the relationship fraught with complications.",Romance
"A monk in a mountaintop monastery tends a garden that blooms only once a decade. As the bloom approaches, he reflects on the decade's joys and sorrows.",Slice-of-life
"A navy destroyer crew faces off against a fleet of ghost ships crewed by the undead. Conventional weapons are useless, and they must find the source of the curse before dawn.",Action
"A healer in a fantasy kingdom learns that her power comes not from divine blessing but from absorbing the life force of nearby plants and animals. The kingdom's forests are dying.",Fantasy
"A concert pianist begins hearing a melody no one else can. It grows louder each day, and she discovers it matches a composition written by a composer who went mad.",Psychological
"A night-shift security guard at a data center notices unauthorized access to a server room at 3:17 AM every night. The logs show no entry, but the data is being copied.",Thriller
"A group of misfit kids form a dodgeball team to compete against the school bullies. Their unlikely victory becomes a story of resilience and creative strategy.",Other
"Two rival food bloggers are forced to co-host a web series. On camera they bicker; off camera they discover a shared past and simmering chemistry.",Romance
"A watchmaker repairs clocks in a quiet village, each one connected to a family's history. His workshop becomes a confessional where customers share stories while waiting for their timepieces.",Slice-of-life
"A fugitive martial monk seeks sanctuary in enemy territory after being framed for his master's murder. To clear his name, he must fight through the very school he once called home.",Action
"A wandering bard collects stories from every kingdom she visits. She discovers that the stories are pieces of a fragmented prophecy that, when assembled, reveals the end of the world.",Fantasy
"A man wakes up each morning with a new tattoo that depicts an event from the previous day—but events he has no memory of experiencing.",Psychological
"A true-crime author receives a manuscript in the mail that describes a series of murders yet to happen. The details are too specific to dismiss, and the first prediction comes true.",Thriller
"A retired ballerina teaches dance to underprivileged children in a community center. Her students' raw talent and determination reignite her own passion for the art.",Other
"A beekeeper and a neighboring lavender farmer form an unlikely partnership—and an even more unlikely romance—when their bees start cross-pollinating.",Romance
"A ramen shop owner experiments with a new recipe every week, guided by customer feedback and old family journals. Each bowl tells a story of trial, error, and comfort.",Slice-of-life
"An elite squad of supernatural hunters tracks down cursed artifacts across modern-day Tokyo. Their latest target—a mirror that shows the viewer their death—has gone missing.",Action
"A young scholar discovers a language that, when spoken aloud, alters the fabric of reality. Each word carries tremendous power, but pronunciation errors have catastrophic consequences.",Fantasy
"A patient in a psychiatric facility insists she's from a parallel world. Her descriptions are internally consistent and she provides verifiable information about events that haven't happened yet.",Psychological
"A storm traps a group of hikers in an abandoned mine. As they search for another exit, they find evidence that the mine was sealed deliberately—to keep something inside.",Thriller
"A teenage girl builds a soap-box racing car from scrapyard parts and enters a national competition. Her engineering ingenuity and underdog spirit challenge assumptions about age and gender.",Other
"A ghostwriter and the celebrity whose memoir she's writing develop real feelings during late-night interview sessions. The book's success could expose their relationship and ruin both careers.",Romance
"An elderly man walks his dog through the same park every morning, exchanging nods with fellow regulars. When one regular stops appearing, the group bands together to check on her.",Slice-of-life
"A space station crew responds to a distress beacon from a planet that was declared uninhabitable. On the surface, they find a civilization that shouldn't exist—and it's been expecting them.",Action
"A realm where seasons are controlled by four elemental spirits falls into chaos when the spirit of winter refuses to yield to spring. A mortal diplomat is sent to negotiate.",Fantasy
"A museum guard notices that a portrait's expression changes slightly each night. Security footage shows nothing, but a hidden camera reveals a figure moving within the painting.",Psychological
"A whistleblower leaks documents to a journalist, then vanishes. Following the trail, the journalist discovers the whistleblower may have been fabricating evidence—or someone is fabricating the fabrication.",Thriller
"An aspiring voice actor juggles auditions, a day job at a call center, and a secret passion for puppet theater. His characters start blending into his real personality.",Other
"A chocolatier and a dentist live next door to each other. Their playful antagonism evolves into tender moments over shared dinners and increasingly transparent excuses to visit.",Romance
"A woman inherits a vineyard she's never visited and moves to the countryside to run it. The first harvest teaches her more about patience and resilience than any city job ever did.",Slice-of-life
"An arms dealer turned pacifist is forced back into the trade when his daughter is kidnapped. He must deliver a superweapon to a warlord or lose her forever.",Action
"A kingdom's magic comes from a great tree at its center. When the tree begins to wither, a young herbalist embarks on a quest to find its twin in the underworld.",Fantasy
"A man receives letters from his dead wife, postmarked from cities she never visited. The letters contain details about his daily life that only someone watching him would know.",Psychological
"A ferry captain notices that one passenger rides the same route every day, never disembarking. On the seventh day, the passenger hands her an envelope and jumps overboard.",Thriller
"A retired circus performer teaches acrobatics to street kids under a highway overpass. Their impromptu shows draw crowds and eventually catch the eye of a talent scout.",Other
"Two astronomers at rival observatories compete to discover a new comet. Their late-night email arguments about methodology slowly shift to personal confessions under the veil of anonymity.",Romance
"A potter in rural Kyoto shapes bowls using techniques passed down through twelve generations. Her decision to modernize the craft puts her at odds with her traditionalist father.",Slice-of-life
"A revolutionary leads an uprising against a corrupt emperor using guerrilla tactics and stolen magical weapons. Each victory brings liberation but also moral compromise.",Action
"A lighthouse keeper discovers that the light she tends doesn't guide ships—it keeps a slumbering leviathan asleep on the ocean floor. The bulb is flickering.",Fantasy
"A hypnotherapist's patients start sharing identical repressed memories of an event none of them could have attended. The consistency is too precise to be coincidence.",Psychological
"A postal worker finds a letter addressed to 'The Person Who Opens This.' Following its instructions leads her into a game orchestrated by someone who knows the postal system intimately.",Thriller
"A young magician performs at children's birthday parties while secretly training for a prestigious magic competition. The line between illusion and genuine wonder keeps her motivated.",Other
"A librarian develops feelings for the person who keeps leaving margin notes in library books. She tracks the notes across dozens of titles, assembling a portrait of a kindred spirit.",Romance
"A community garden in an urban lot brings together immigrants from six different countries. Their shared labor and recipe exchanges form a tapestry of cultures and friendships.",Slice-of-life
"A tank crew in a fantasy world powered by steam technology defends a border fortress against waves of enchanted beasts. Each assault tests their machine's limits and their resolve.",Action
"A mermaid who can walk on land for twelve hours at a time falls in love with a human fisherman. Each sunset forces a painful return to the sea.",Fantasy
"A photo developer finds that one customer's rolls always contain images of rooms the customer swears she's never photographed. The rooms exist—but their doors are always locked.",Psychological
"A rideshare driver realizes his last five passengers have all traveled to the same abandoned warehouse. When he investigates, he finds a door that only unlocks with a passenger's phone.",Thriller
"A teenage drummer joins a jazz ensemble of musicians three times her age. Learning to listen and improvise teaches her as much about life as it does about rhythm.",Other
"A florist who communicates through the language of flowers sends coded bouquets to a customer who gradually deciphers each message. The final arrangement spells out a confession.",Romance
"A retired teacher volunteers at a literacy program and bonds with a student who reminds her of the child she lost decades ago. Their sessions become quietly transformative for both.",Slice-of-life
"A lone wolf bounty hunter in a sci-fi frontier planet tracks a shapeshifting fugitive through desert towns and orbital stations. Trust is impossible when anyone could be the target.",Action
"A blacksmith forges a sword from a fallen star and accidentally imbues it with the star's dying consciousness. The sword speaks, dreams, and mourns its lost sky.",Fantasy
"A man who can see exactly one hour into the future uses the ability for mundane advantages until he foresees an event he cannot prevent no matter what he tries.",Psychological
"A deep-sea research team discovers a perfectly preserved ship from a future era at the bottom of a trench. The ship's log describes events that are about to unfold on the surface.",Thriller
"A pair of twin sisters run a puppet theater, one handling the technical side and the other the artistic. Their conflicting visions threaten the show—and their sisterly bond.",Other
"An antique dealer and a historian clash over the ownership of a rare artifact, then find themselves teaming up to authenticate it. Shared passion leads to shared evenings.",Romance
"A neighborhood cat café becomes the unlikely gathering place for a group of lonely people. The cats are the initial draw, but human connection keeps them coming back.",Slice-of-life
"An escaped gladiator leads a slave revolt across a continent-spanning empire. Her tactical brilliance unites fractured rebel factions into a force that challenges legions.",Action
"A young prince discovers that his kingdom exists inside a snow globe on a giant's shelf. When the giant shakes the globe, natural disasters ravage the land.",Fantasy
